,tc
638751.cif,2.539779191698494
15058.cif,2.5360529002402097
417473.cif,2.5360529002402097
44489.cif,2.5360529002402097
635402.cif,2.5360529002402097
648639.cif,2.5360529002402097
291699.cif,2.533563348214512
619211.cif,2.523561956057013
58634.cif,2.5223068928713888
60072.cif,2.5109619192773796
617156.cif,2.5109619192773796
641065.cif,2.5109619192773796
674044.cif,2.5109619192773796
105157.cif,2.4905701304462013
651684.cif,2.488429401027934
43994.cif,2.485426827170242
638956.cif,2.485426827170242
670698.cif,2.485426827170242
108108.cif,2.481298941547565
291695.cif,2.4776773275653072
23247.cif,2.4666153748508894
410838.cif,2.4646682670034443
640569.cif,2.4594316186372973
191390.cif,2.4356285940520905
58110.cif,2.4329594072761065
618108.cif,2.4329594072761065
647720.cif,2.420212890610785
104655.cif,2.417650017160688
104499.cif,2.412781525338476
106124.cif,2.400537929583729
291694.cif,2.390942772802543
616438.cif,2.3812833725037836
638810.cif,2.3794360390608182
251038.cif,2.37851162325373
52288.cif,2.37851162325373
192129.cif,2.37851162325373
641110.cif,2.374343989038501
160797.cif,2.37016428054021
104729.cif,2.3645724322958563
57484.cif,2.3504972470841334
600059.cif,2.3504972470841334
614832.cif,2.3476656563009706
181396.cif,2.345774742238773
108146.cif,2.3434078222978143
78871.cif,2.3362833878644325
616698.cif,2.3362833878644325
53801.cif,2.3267291770113157
641056.cif,2.3267291770113157
