,type
168691.cif,1
629329.cif,1
104335.cif,1
170722.cif,0
236949.cif,1
30294.cif,0
264428.cif,0
415549.cif,1
43672.cif,1
240961.cif,0
6159.cif,1
430276.cif,0
657544.cif,1
230168.cif,1
280691.cif,1
614228.cif,1
94989.cif,1
247677.cif,0
623077.cif,1
104265.cif,1
194177.cif,1
432759.cif,0
236186.cif,0
182037.cif,0
49010.cif,1
168586.cif,1
200052.cif,0
189754.cif,1
85863.cif,1
431656.cif,0
631047.cif,1
632416.cif,0
159306.cif,1
27126.cif,1
163120.cif,0
89534.cif,0
250758.cif,1
656153.cif,1
644966.cif,0
412803.cif,1
78393.cif,0
160813.cif,1
35144.cif,0
23884.cif,0
10429.cif,0
280520.cif,0
624016.cif,1
419249.cif,0
415688.cif,1
66717.cif,0
201355.cif,0
96764.cif,0
57400.cif,1
67891.cif,1
675444.cif,0
52316.cif,1
610532.cif,1
241133.cif,0
673104.cif,0
163001.cif,0
671009.cif,1
672090.cif,0
647190.cif,1
18139.cif,0
255160.cif,0
60937.cif,1
617804.cif,1
193826.cif,0
416013.cif,0
674111.cif,0
256525.cif,0
28840.cif,1
30516.cif,0
629259.cif,1
169575.cif,1
239437.cif,0
261812.cif,0
29027.cif,0
658647.cif,1
174520.cif,0
611083.cif,1
629710.cif,1
400338.cif,0
636941.cif,1
63295.cif,0
237265.cif,0
52345.cif,1
88692.cif,0
86035.cif,1
160220.cif,0
237398.cif,1
16132.cif,0
94840.cif,0
652643.cif,1
620270.cif,1
62645.cif,0
620482.cif,1
168234.cif,1
238932.cif,1
634798.cif,1
422107.cif,0
674993.cif,0
60667.cif,1
16232.cif,0
30242.cif,1
674235.cif,0
6007.cif,0
6059.cif,0
634586.cif,1
104493.cif,1
16011.cif,1
25010.cif,0
430117.cif,0
2273.cif,1
106595.cif,1
28139.cif,1
85141.cif,0
640434.cif,1
649452.cif,1
425427.cif,0
252580.cif,1
601236.cif,1
187501.cif,1
244817.cif,0
1887.cif,0
612373.cif,1
155129.cif,0
248052.cif,1
241935.cif,0
640121.cif,1
162866.cif,1
98226.cif,1
421178.cif,1
61416.cif,1
68809.cif,1
252215.cif,0
417769.cif,0
76603.cif,1
43807.cif,1
65251.cif,0
657399.cif,1
164987.cif,1
22365.cif,0
90294.cif,1
195837.cif,0
20233.cif,1
84455.cif,0
44187.cif,1
48127.cif,1
52852.cif,1
71882.cif,0
420479.cif,1
244859.cif,0
16229.cif,0
672809.cif,1
405191.cif,0
639757.cif,1
281734.cif,0
412523.cif,0
20428.cif,0
420402.cif,0
627879.cif,1
40849.cif,0
428209.cif,0
72298.cif,0
657202.cif,1
263118.cif,1
68278.cif,1
159150.cif,1
39790.cif,0
167706.cif,1
44916.cif,1
425637.cif,0
152947.cif,1
57495.cif,1
426939.cif,0
249201.cif,0
262127.cif,0
186005.cif,1
635212.cif,1
627765.cif,1
616280.cif,1
88580.cif,1
612234.cif,1
83659.cif,0
650481.cif,1
44396.cif,0
611266.cif,1
3085.cif,0
85323.cif,1
201880.cif,0
405639.cif,1
280588.cif,0
602500.cif,1
658303.cif,1
409773.cif,0
255258.cif,0
54183.cif,0
254645.cif,0
76314.cif,0
85582.cif,0
182366.cif,1
62932.cif,1
109334.cif,0
130011.cif,1
251877.cif,0
410808.cif,1
130046.cif,1
651440.cif,1
157664.cif,1
428171.cif,0
110665.cif,1
77618.cif,1
634951.cif,1
88064.cif,1
77777.cif,1
258703.cif,1
99697.cif,0
264703.cif,1
94598.cif,0
612046.cif,1
58764.cif,1
50516.cif,1
610649.cif,1
626850.cif,1
264947.cif,0
58442.cif,1
644065.cif,0
290298.cif,0
629725.cif,1
183342.cif,1
188285.cif,1
608246.cif,1
105346.cif,1
106860.cif,1
95672.cif,1
624883.cif,1
170695.cif,0
184495.cif,1
623864.cif,1
30701.cif,1
162956.cif,1
198218.cif,1
72838.cif,0
170837.cif,0
615787.cif,1
194944.cif,1
263567.cif,0
415001.cif,0
93228.cif,1
625618.cif,1
96028.cif,1
257784.cif,0
104319.cif,1
79481.cif,0
76306.cif,1
31291.cif,0
65963.cif,0
107275.cif,1
638161.cif,1
427407.cif,0
184237.cif,1
152172.cif,0
428748.cif,0
603520.cif,1
260022.cif,1
73408.cif,1
96206.cif,0
429830.cif,0
171431.cif,1
86291.cif,1
194846.cif,0
81485.cif,0
644715.cif,1
254363.cif,1
405228.cif,0
639356.cif,1
672881.cif,1
652839.cif,1
81690.cif,0
4200.cif,1
406087.cif,0
182411.cif,1
12127.cif,0
52675.cif,1
86293.cif,1
409493.cif,0
190757.cif,0
632265.cif,1
73801.cif,0
84610.cif,0
2826.cif,0
31017.cif,1
255874.cif,0
411798.cif,1
31641.cif,1
8259.cif,0
93602.cif,0
281712.cif,0
671794.cif,1
103680.cif,1
104003.cif,1
67503.cif,0
31994.cif,0
427289.cif,0
59456.cif,1
245749.cif,1
249537.cif,0
83400.cif,0
634239.cif,1
168177.cif,1
79239.cif,1
246482.cif,0
656435.cif,1
650759.cif,1
649818.cif,1
82845.cif,0
413139.cif,0
35509.cif,1
427335.cif,0
672188.cif,1
94046.cif,1
152109.cif,1
639765.cif,1
656438.cif,1
104626.cif,1
197635.cif,1
166672.cif,0
281645.cif,0
431050.cif,0
97950.cif,0
10020.cif,0
262083.cif,0
249703.cif,1
237462.cif,0
31227.cif,0
237215.cif,0
24020.cif,1
658794.cif,1
26094.cif,1
618903.cif,1
62343.cif,1
641391.cif,1
158859.cif,0
88102.cif,0
256474.cif,0
74870.cif,1
29089.cif,1
411221.cif,0
407719.cif,0
246728.cif,0
192778.cif,0
432968.cif,0
52325.cif,1
65138.cif,0
670519.cif,1
615235.cif,1
639568.cif,1
52404.cif,1
635590.cif,1
104823.cif,1
164865.cif,0
404328.cif,0
670531.cif,1
28008.cif,0
188903.cif,1
15316.cif,0
417143.cif,0
64793.cif,0
9076.cif,0
652143.cif,1
20231.cif,0
174366.cif,1
653246.cif,1
86442.cif,0
83850.cif,1
18146.cif,0
86067.cif,1
96062.cif,0
76843.cif,1
240091.cif,1
290870.cif,0
72389.cif,1
102285.cif,1
97008.cif,0
636063.cif,1
31461.cif,0
202761.cif,0
53414.cif,1
166572.cif,0
417519.cif,1
243504.cif,1
35719.cif,1
28692.cif,0
675070.cif,1
262773.cif,0
673830.cif,0
109902.cif,1
183493.cif,0
640544.cif,1
249876.cif,0
77645.cif,1
430116.cif,0
24672.cif,0
193553.cif,0
40828.cif,0
66869.cif,0
170058.cif,0
201699.cif,0
602529.cif,1
650328.cif,1
75982.cif,0
60762.cif,0
670723.cif,1
106240.cif,1
107118.cif,1
28917.cif,1
15858.cif,0
23259.cif,1
44440.cif,1
182410.cif,1
262563.cif,1
637214.cif,1
391342.cif,0
414461.cif,0
609259.cif,0
97765.cif,0
421266.cif,0
42757.cif,1
189699.cif,1
62499.cif,0
58950.cif,1
256123.cif,0
83431.cif,0
645729.cif,1
74934.cif,0
42249.cif,1
89548.cif,0
290431.cif,1
102124.cif,1
170072.cif,0
20337.cif,1
62597.cif,1
58068.cif,1
79857.cif,0
39266.cif,0
32600.cif,0
414187.cif,0
191233.cif,1
236576.cif,0
80095.cif,1
38410.cif,0
424548.cif,0
187575.cif,0
425734.cif,0
603266.cif,1
609450.cif,1
402165.cif,0
606339.cif,0
671415.cif,1
418178.cif,1
370021.cif,1
427787.cif,0
31725.cif,1
670996.cif,1
81775.cif,1
419143.cif,0
93760.cif,0
191480.cif,1
265347.cif,0
88011.cif,0
264731.cif,0
628251.cif,1
73299.cif,0
605497.cif,1
250447.cif,1
92440.cif,1
60830.cif,1
65782.cif,0
600188.cif,1
675772.cif,1
600190.cif,1
2467.cif,1
193819.cif,1
625530.cif,1
75026.cif,1
15742.cif,1
51516.cif,0
89833.cif,0
600164.cif,1
58600.cif,1
631649.cif,1
423450.cif,1
418300.cif,0
254501.cif,0
623663.cif,1
1908.cif,1
649683.cif,1
98508.cif,1
94775.cif,1
290733.cif,1
646872.cif,1
240050.cif,1
416984.cif,0
30978.cif,0
44088.cif,1
69720.cif,1
408768.cif,0
108700.cif,1
93156.cif,1
183050.cif,0
58741.cif,1
168327.cif,1
673954.cif,1
646859.cif,1
85008.cif,0
8157.cif,1
53812.cif,1
108980.cif,1
186571.cif,0
605515.cif,1
673695.cif,1
671404.cif,1
43191.cif,1
409518.cif,0
37075.cif,1
670636.cif,1
644234.cif,1
67257.cif,0
76935.cif,0
616239.cif,1
170033.cif,0
67236.cif,0
5059.cif,1
280606.cif,0
670343.cif,1
246278.cif,0
419538.cif,1
656978.cif,1
628500.cif,1
34325.cif,0
602046.cif,1
23295.cif,1
612101.cif,1
432286.cif,0
615052.cif,1
42938.cif,1
107428.cif,1
631016.cif,1
671414.cif,1
671733.cif,1
674674.cif,1
38547.cif,0
601589.cif,1
646261.cif,1
182022.cif,0
152606.cif,1
186645.cif,1
15092.cif,0
151120.cif,1
251663.cif,1
432172.cif,0
656949.cif,1
428282.cif,0
109323.cif,1
109953.cif,1
258729.cif,0
412391.cif,0
161206.cif,0
649304.cif,1
99180.cif,0
640775.cif,1
428421.cif,0
20278.cif,1
55876.cif,0
656769.cif,1
420683.cif,1
73478.cif,0
619638.cif,1
77797.cif,1
50923.cif,0
609814.cif,1
198709.cif,1
58130.cif,1
180336.cif,0
412961.cif,0
56180.cif,1
86637.cif,0
98702.cif,0
409228.cif,0
673683.cif,1
60782.cif,0
76746.cif,1
609393.cif,1
195788.cif,0
152644.cif,1
85487.cif,1
635812.cif,1
103187.cif,1
9684.cif,0
248131.cif,0
635339.cif,1
157327.cif,0
290318.cif,0
649844.cif,1
202658.cif,0
648980.cif,1
100834.cif,0
74721.cif,0
88602.cif,0
76385.cif,1
26584.cif,1
168459.cif,1
673112.cif,0
616131.cif,1
423088.cif,0
109244.cif,1
110542.cif,0
195647.cif,0
265671.cif,0
291431.cif,1
63642.cif,1
106806.cif,1
75601.cif,0
628258.cif,1
194807.cif,1
247962.cif,1
256664.cif,0
34765.cif,0
84641.cif,0
421530.cif,1
185109.cif,1
417275.cif,0
416167.cif,0
418148.cif,0
110213.cif,1
259398.cif,0
96003.cif,0
264979.cif,0
172463.cif,0
408193.cif,0
162865.cif,1
184344.cif,0
84971.cif,1
89627.cif,1
172376.cif,0
426639.cif,0
410919.cif,1
641013.cif,1
601878.cif,1
161744.cif,1
44547.cif,1
260790.cif,1
78910.cif,0
611781.cif,1
417821.cif,0
1439.cif,0
18162.cif,1
62554.cif,0
630225.cif,0
49587.cif,0
95474.cif,0
422883.cif,0
202819.cif,0
96720.cif,1
262045.cif,0
673708.cif,1
608861.cif,1
57981.cif,1
190786.cif,1
97458.cif,1
416400.cif,1
646168.cif,1
658847.cif,1
54089.cif,1
613197.cif,1
33975.cif,1
409540.cif,0
419851.cif,1
103248.cif,1
412988.cif,0
420291.cif,0
20492.cif,1
424311.cif,1
25792.cif,0
600206.cif,1
634443.cif,1
6175.cif,0
87534.cif,1
291197.cif,1
152084.cif,0
68142.cif,1
621205.cif,1
198419.cif,1
408826.cif,0
609707.cif,1
25625.cif,1
260423.cif,0
6320.cif,1
415682.cif,0
5411.cif,1
29048.cif,1
253860.cif,0
188252.cif,1
236960.cif,1
56025.cif,1
93688.cif,0
20770.cif,0
422557.cif,0
642552.cif,1
1199.cif,0
182778.cif,1
670104.cif,1
641058.cif,1
44395.cif,0
412152.cif,0
264969.cif,0
41833.cif,1
69587.cif,0
425266.cif,0
9839.cif,0
641992.cif,1
429330.cif,0
59496.cif,1
613640.cif,1
188490.cif,0
635828.cif,1
411376.cif,0
252431.cif,1
26919.cif,1
35329.cif,1
263824.cif,0
41383.cif,1
195339.cif,0
407327.cif,0
613928.cif,1
66825.cif,0
672280.cif,1
171260.cif,0
93336.cif,1
36225.cif,1
20787.cif,1
2534.cif,0
98573.cif,0
105477.cif,1
14031.cif,1
629648.cif,1
160599.cif,1
251594.cif,0
614803.cif,1
104628.cif,1
193740.cif,0
416213.cif,1
411988.cif,0
54547.cif,1
417872.cif,0
110600.cif,0
670386.cif,1
103353.cif,1
623660.cif,1
200816.cif,1
414172.cif,1
169410.cif,1
84322.cif,0
58516.cif,1
419894.cif,1
66512.cif,0
428780.cif,0
415256.cif,1
422048.cif,0
105879.cif,1
191191.cif,1
1100.cif,0
150560.cif,1
16899.cif,0
651890.cif,1
166049.cif,1
158801.cif,0
69187.cif,1
75583.cif,0
658403.cif,1
659162.cif,1
402907.cif,0
35132.cif,0
58704.cif,1
67361.cif,1
673705.cif,1
280558.cif,0
43450.cif,1
419351.cif,0
249589.cif,0
280102.cif,0
197200.cif,1
260480.cif,1
252591.cif,1
72920.cif,1
69387.cif,0
254758.cif,0
417669.cif,1
419836.cif,0
58146.cif,1
673812.cif,1
153874.cif,1
93218.cif,1
167818.cif,1
169053.cif,1
624952.cif,1
672330.cif,1
291224.cif,0
77150.cif,0
27770.cif,1
672989.cif,1
66868.cif,0
103637.cif,1
419886.cif,1
63363.cif,0
674676.cif,0
612013.cif,1
58394.cif,1
53426.cif,1
432006.cif,0
26793.cif,1
8155.cif,1
59421.cif,1
197706.cif,1
31589.cif,1
60934.cif,0
256600.cif,1
102444.cif,1
672718.cif,0
4031.cif,0
251662.cif,1
42960.cif,1
410436.cif,1
6117.cif,0
416614.cif,1
608885.cif,1
416933.cif,0
674511.cif,1
169492.cif,0
252323.cif,1
248220.cif,0
50008.cif,0
160171.cif,1
616019.cif,1
5286.cif,0
26740.cif,1
69563.cif,0
180004.cif,0
171459.cif,0
623629.cif,1
172789.cif,0
95908.cif,0
51314.cif,0
78834.cif,1
261206.cif,1
617955.cif,1
412399.cif,0
100287.cif,1
414476.cif,1
672714.cif,1
422492.cif,0
658223.cif,1
425986.cif,0
409896.cif,0
244353.cif,0
256360.cif,0
280338.cif,1
62964.cif,0
253697.cif,0
183080.cif,0
35297.cif,1
429102.cif,1
14371.cif,0
80038.cif,0
416727.cif,0
151877.cif,0
425447.cif,0
427953.cif,0
66754.cif,0
88248.cif,1
416859.cif,0
24957.cif,1
77790.cif,1
100078.cif,0
404157.cif,0
670705.cif,1
103794.cif,1
250440.cif,0
412379.cif,0
28652.cif,1
161868.cif,1
183521.cif,1
187419.cif,0
76298.cif,1
636838.cif,1
635847.cif,1
202695.cif,0
36097.cif,0
676270.cif,1
172428.cif,0
35391.cif,1
672252.cif,1
43233.cif,1
615149.cif,1
182552.cif,1
418739.cif,1
630711.cif,1
261827.cif,1
672962.cif,1
258899.cif,0
600525.cif,1
82457.cif,0
73217.cif,1
81375.cif,1
15052.cif,0
290278.cif,0
93115.cif,1
614183.cif,1
201561.cif,1
656645.cif,1
431916.cif,1
84915.cif,0
109819.cif,0
104682.cif,1
14269.cif,0
82364.cif,0
412642.cif,0
68525.cif,1
645564.cif,1
262541.cif,0
608960.cif,1
104824.cif,1
647500.cif,1
33603.cif,0
241923.cif,0
636517.cif,1
44913.cif,1
181501.cif,1
173446.cif,0
40269.cif,0
265289.cif,0
675464.cif,1
247270.cif,0
621367.cif,1
244015.cif,0
622815.cif,1
53437.cif,0
86110.cif,1
628927.cif,1
600909.cif,1
170341.cif,1
74704.cif,1
180269.cif,1
28539.cif,0
86275.cif,1
615780.cif,1
165073.cif,0
100128.cif,1
105358.cif,1
625140.cif,1
500.cif,0
188947.cif,1
107251.cif,1
9376.cif,1
78857.cif,1
183485.cif,0
157622.cif,1
675932.cif,1
648569.cif,1
55694.cif,0
407324.cif,0
416230.cif,0
95774.cif,0
194898.cif,0
48020.cif,0
411044.cif,0
130045.cif,1
419252.cif,0
629738.cif,1
673753.cif,1
39349.cif,0
110157.cif,0
151699.cif,0
253688.cif,0
419491.cif,1
90917.cif,0
62341.cif,1
671946.cif,0
613650.cif,1
41763.cif,1
635342.cif,1
34685.cif,0
237134.cif,0
659272.cif,1
624662.cif,1
105167.cif,1
109208.cif,1
161337.cif,1
60626.cif,0
183519.cif,1
631464.cif,1
40446.cif,0
109299.cif,0
671704.cif,1
634262.cif,1
656154.cif,1
58360.cif,1
188261.cif,1
91748.cif,0
92852.cif,0
184010.cif,0
155189.cif,0
110571.cif,0
74671.cif,1
262937.cif,1
611214.cif,1
37162.cif,0
612264.cif,1
673728.cif,1
57085.cif,1
652366.cif,1
95973.cif,0
200201.cif,0
675773.cif,1
42335.cif,1
9893.cif,0
180185.cif,0
1806.cif,1
167944.cif,1
261534.cif,0
391465.cif,1
673672.cif,1
626089.cif,1
402263.cif,1
66745.cif,0
105379.cif,1
41536.cif,0
162074.cif,0
203225.cif,0
670613.cif,1
20020.cif,0
291305.cif,0
91546.cif,0
4253.cif,0
249333.cif,0
260159.cif,1
32506.cif,1
432092.cif,0
106634.cif,1
645955.cif,1
51136.cif,0
254318.cif,0
671693.cif,0
59957.cif,0
672145.cif,1
281482.cif,0
673581.cif,1
87391.cif,1
81851.cif,0
44211.cif,1
79694.cif,0
637440.cif,1
62588.cif,0
237285.cif,0
44914.cif,1
76266.cif,1
87354.cif,1
80600.cif,1
53862.cif,1
200388.cif,0
430491.cif,1
36321.cif,1
649944.cif,1
161925.cif,1
673557.cif,1
165214.cif,0
649696.cif,1
53446.cif,1
263133.cif,0
427155.cif,1
186573.cif,1
415513.cif,1
27484.cif,1
673810.cif,1
162828.cif,0
73520.cif,0
85574.cif,0
